time;normal;hipox;imm;tum
1261;172;2;13;0
1262;172;2;13;0
1263;172;2;13;0
1264;172;2;13;0
1265;172;2;13;0
1266;172;2;13;0
1267;172;2;13;0
1268;172;2;13;0
1269;172;2;13;0
1270;172;2;13;0
1271;172;2;13;0
1272;172;2;13;0
1273;172;2;13;0
1274;172;2;13;0
1275;172;2;13;0
1276;172;2;13;0
1277;172;2;13;0
1278;172;2;13;0
1279;172;2;13;0
1280;172;2;13;0
1281;172;2;13;0
1282;172;2;13;0
1283;172;2;13;0
1284;172;2;13;0
1285;172;2;13;0
1286;172;2;13;0
1287;172;2;13;0
1288;172;2;13;0
1289;172;2;13;0
1290;172;2;13;0
1291;172;2;13;0
1292;172;2;12;0
1293;172;2;12;0
1294;172;2;12;0
1295;172;2;12;0
1296;172;2;12;0
1297;172;2;12;0
1298;172;2;12;0
1299;172;2;12;0
1300;172;2;12;0
1301;172;2;12;0
1302;172;2;12;0
1303;172;2;12;0
1304;172;2;12;0
1305;172;2;12;0
1306;172;2;12;0
1307;172;2;12;0
1308;172;2;12;0
1309;172;2;12;0
1310;172;2;12;0
1311;172;2;12;0
1312;172;2;12;0
1313;172;2;12;0
1314;172;2;12;0
1315;172;2;12;0
1316;172;2;12;0
1317;172;2;12;0
1318;172;2;12;0
1319;172;2;12;0
1320;172;2;12;0
1321;172;2;12;0
1322;172;2;12;0
1323;172;2;12;0
1324;172;2;12;0
1325;172;2;12;0
1326;172;2;12;0
1327;172;2;12;0
1328;172;2;12;0
1329;172;2;12;0
1330;172;2;12;0
1331;172;2;12;0
1332;172;2;12;0
1333;172;2;12;0
1334;172;2;12;0
1335;172;2;12;0
1336;173;2;12;0
1337;173;2;12;0
1338;173;2;12;0
1339;173;2;12;0
1340;173;2;12;0
1341;173;2;12;0
1342;173;2;12;0
1343;173;2;12;0
1344;173;2;12;0
1345;173;2;12;0
1346;173;2;12;0
1347;173;2;12;0
1348;173;2;12;0
1349;173;2;12;0
1350;173;2;12;0
1351;173;2;12;0
1352;173;2;12;0
1353;173;2;12;0
1354;173;2;12;0
1355;173;2;12;0
1356;173;1;12;0
1357;173;1;12;0
1358;173;1;12;0
1359;173;1;12;0
1360;173;1;12;0
1361;173;1;12;0
1362;173;1;12;0
1363;172;1;12;0
1364;172;1;12;0
1365;172;1;12;0
1366;172;1;12;0
1367;172;1;12;0
1368;172;1;12;0
1369;172;1;12;0
1370;172;1;12;0
1371;172;1;12;0
1372;172;1;12;0
1373;172;1;12;0
1374;172;1;12;0
1375;172;1;12;0
1376;172;1;12;0
1377;172;1;12;0
1378;172;1;12;0
1379;172;1;12;0
1380;172;1;12;0
1381;172;1;12;0
1382;172;1;12;0
1383;172;1;12;0
1384;172;1;12;0
1385;172;1;12;0
1386;172;1;12;0
1387;172;1;12;0
1388;172;1;12;0
1389;172;1;12;0
1390;172;1;12;0
1391;172;1;12;0
1392;172;1;12;0
1393;172;1;12;0
1394;172;1;12;0
1395;172;1;12;0
1396;172;1;12;0
1397;172;1;12;0
1398;172;1;12;0
1399;172;1;12;0
1400;172;1;12;0
1401;172;1;12;0
1402;172;1;12;0
1403;172;1;12;0
1404;172;1;11;0
1405;172;1;11;0
1406;172;1;11;0
1407;172;1;11;0
1408;172;1;11;0
1409;172;1;11;0
1410;172;1;11;0
1411;172;1;11;0
1412;172;1;11;0
1413;172;1;11;0
1414;172;1;11;0
1415;172;1;11;0
1416;172;1;11;0
1417;172;1;11;0
1418;172;1;11;0
1419;172;1;11;0
1420;173;1;11;0
1421;173;1;11;0
1422;173;1;11;0
1423;173;1;11;0
1424;173;1;11;0
1425;173;1;11;0
1426;173;1;11;0
1427;173;1;11;0
1428;173;1;11;0
1429;173;1;11;0
1430;173;1;11;0
1431;173;1;11;0
1432;173;1;11;0
1433;173;1;11;0
1434;173;1;11;0
1435;173;1;11;0
1436;173;1;11;0
1437;173;1;11;0
1438;173;1;11;0
1439;173;1;11;0
1440;173;1;11;0
1441;173;1;11;0
1442;173;1;11;0
1443;173;1;11;0
1444;173;1;11;0
1445;173;1;11;0
1446;173;1;11;0
1447;173;1;11;0
1448;173;1;11;0
1449;173;1;11;0
1450;173;1;11;0
1451;173;1;11;0
1452;173;1;11;0
1453;173;1;11;0
1454;173;1;11;0
1455;173;1;11;0
1456;173;1;11;0
1457;173;1;11;0
1458;173;1;11;0
1459;173;1;11;0
1460;173;1;11;0
1461;173;1;11;0
1462;173;1;11;0
1463;173;1;11;0
1464;173;1;11;0
1465;173;1;11;0
1466;173;1;11;0
1467;173;1;11;0
1468;173;1;11;0
1469;173;1;11;0
1470;173;1;11;0
1471;173;1;11;0
1472;173;1;11;0
1473;173;1;11;0
1474;173;1;11;0
1475;173;1;11;0
1476;173;1;11;0
1477;173;1;11;0
1478;173;1;11;0
1479;173;1;11;0
1480;173;1;11;0
1481;173;1;11;0
1482;173;1;11;0
1483;173;1;11;0
1484;173;1;11;0
1485;173;1;11;0
1486;173;1;11;0
1487;173;1;11;0
1488;173;1;11;0
1489;173;1;11;0
1490;173;1;11;0
1491;173;1;11;0
1492;173;1;11;0
1493;173;1;11;0
1494;173;1;11;0
1495;173;1;11;0
1496;173;1;11;0
1497;173;1;11;0
1498;173;1;11;0
1499;173;1;11;0
1500;173;1;11;0
1501;173;1;11;0
1502;173;1;11;0
1503;173;1;11;0
1504;173;1;11;0
1505;173;1;11;0
1506;173;1;11;0
1507;173;1;11;0
1508;173;1;11;0
1509;173;1;11;0
1510;173;1;11;0
1511;173;1;11;0
1512;173;1;11;0
1513;173;1;11;0
1514;173;1;11;0
1515;173;1;11;0
1516;173;1;11;0
1517;173;1;11;0
1518;173;1;11;0
1519;173;1;11;0
1520;173;1;11;0
1521;173;1;11;0
1522;173;1;11;0
1523;173;1;11;0
1524;173;1;11;0
1525;173;1;11;0
1526;173;1;11;0
1527;173;1;11;0
1528;173;1;11;0
1529;173;1;11;0
1530;173;1;11;0
1531;173;1;11;0
1532;173;1;11;0
1533;173;1;11;0
1534;173;1;11;0
1535;173;1;11;0
1536;173;1;11;0
1537;173;1;10;0
1538;173;1;10;0
1539;173;1;10;0
1540;173;1;10;0
1541;173;1;10;0
1542;173;1;10;0
1543;173;1;10;0
1544;173;1;10;0
1545;173;1;10;0
1546;173;1;10;0
1547;173;1;10;0
1548;173;1;10;0
1549;173;1;10;0
1550;173;1;10;0
1551;173;1;10;0
1552;173;1;10;0
1553;173;1;10;0
1554;173;1;10;0
1555;173;1;10;0
1556;173;1;10;0
1557;173;1;10;0
1558;173;1;10;0
1559;173;1;10;0
1560;173;1;10;0
1561;173;1;10;0
1562;173;1;10;0
1563;173;1;10;0
1564;173;1;10;0
1565;173;1;10;0
1566;173;1;10;0
1567;173;1;10;0
1568;173;1;10;0
1569;173;1;10;0
1570;173;1;10;0
1571;173;1;10;0
1572;173;1;10;0
1573;173;1;10;0
1574;173;1;10;0
1575;173;1;10;0
1576;173;1;10;0
1577;173;1;10;0
1578;173;1;10;0
